x y c
2.183488e+00 3.051369e+00 5.460842e-01
3.135548e+00 3.189848e+00 5.460842e-01
3.187824e+00 2.129012e+00 5.460842e-01
2.183488e+00 3.051369e+00 6.238241e-01
1.192963e+00 3.036861e+00 6.238241e-01
3.135548e+00 3.189848e+00 6.238241e-01
2.155500e+00 1.134009e+00 3.355948e-01
3.099869e+00 1.091308e+00 3.355948e-01
1.103163e+00 1.100579e+00 3.355948e-01
2.155500e+00 1.134009e+00 4.954824e-01
1.136185e+00 2.163596e+00 4.954824e-01
1.103163e+00 1.100579e+00 4.954824e-01
2.195564e+00 2.153575e+00 5.994663e-01
2.155500e+00 1.134009e+00 5.994663e-01
1.136185e+00 2.163596e+00 5.994663e-01
2.195564e+00 2.153575e+00 6.496495e-01
1.136185e+00 2.163596e+00 6.496495e-01
1.192963e+00 3.036861e+00 6.496495e-01
2.195564e+00 2.153575e+00 7.572788e-01
2.183488e+00 3.051369e+00 7.572788e-01
1.192963e+00 3.036861e+00 7.572788e-01
2.195564e+00 2.153575e+00 6.795389e-01
2.183488e+00 3.051369e+00 6.795389e-01
3.187824e+00 2.129012e+00 6.795389e-01
2.195564e+00 2.153575e+00 4.120219e-01
3.099869e+00 1.091308e+00 4.120219e-01
3.187824e+00 2.129012e+00 4.120219e-01
2.195564e+00 2.153575e+00 4.395787e-01
2.155500e+00 1.134009e+00 4.395787e-01
3.099869e+00 1.091308e+00 4.395787e-01
