0.190600	0.860900
0.194400	0.908000
0.179900	0.140700
0.212400	0.294200
0.218900	0.779100
0.201700	0.388400
0.209100	0.679900
0.196200	0.470800
0.199900	0.812700
0.199300	0.850500
0.204300	0.980300
0.209500	0.953000
0.176200	0.145300
0.207400	0.351900
0.199000	0.304500
0.202200	0.256300
0.197000	0.744300
0.181100	0.998900
0.193400	0.554900
0.218300	0.506500
0.193800	0.201000
0.208100	0.531900
0.204100	0.635500
0.217000	0.069800
0.196100	0.710300
0.198900	0.440900
0.213000	0.591900
0.206000	0.030700
0.186000	0.395900
0.206500	0.082500
0.195500	0.672000
0.221400 -0.013500
0.202300	0.222300
0.193300	0.959700

