	0.005300	0.369500
	-0.016100	0.610000
	-0.007400	0.252100
	0.002900	0.699600
	0.010900	0.232000
	-0.014100	0.152400
	-0.008000	-0.003100
	-0.009100	0.639900
	-0.008700	0.125800
	-0.003700	0.897400
	0.009600	0.432200
	-0.009100	0.770800
	-0.030300	0.974200
	-0.004000	0.675900
	-0.002100	0.089500
	0.003300	0.319700
	0.006100	0.863300
	0.000600	0.263700
	-0.008900	0.471500
	0.016000	0.505700
	0.000000	0.602600
	-0.012300	0.404400
	-0.007000	0.911900
	0.006700	0.747200
	0.009000	0.825300
	-0.001500	0.534400
	-0.020600	0.336300
	0.012600	0.039800
	0.011600	0.944100
	-0.003600	0.068000
	-0.022400	0.575400
	-0.002900	0.184500
