Chromium Iron Nickel Temperature
0.90	0.0		0.10	1700
0.85	0.14	0.00	1700

0.85	0.00	0.15	1600
0.78	0.22	0.00	1600
0.71	0.29	0.00	1600

0.77	0.00	0.23	1500
0.69	0.21	0.10	1500
0.58	0.38	0.03	1500
0.43	0.55	0.02	1500
0.22	0.75	0.02	1500
0.00	0.94	0.06	1500

0.70	0.00	0.30	1400
0.59	0.22	0.19	1400
0.48	0.39	0.13	1400
0.39	0.50	0.11	1400
0.35	0.53	0.12	1400
0.33	0.54	0.13	1400

0.60	0.00	0.40	1350
0.56	0.11	0.33	1350
0.51	0.19	0.30	1350
0.49	0.21	0.30	1350

0.00	0.97	0.03	1500
0.07	0.93	0.00	1500

0.00	0.96	0.04	1500
0.01	0.92	0.07	1500
0.07	0.86	0.08	1500
0.12	0.81	0.07	1500
0.15	0.78	0.07	1500
0.19	0.72	0.09	1500
0.23	0.66	0.11	1500
0.29	0.59	0.12	1500
0.35	0.51	0.14	1500
0.40	0.43	0.17	1500
0.45	0.36	0.19	1500
0.49	0.28	0.23	1500
0.50	0.20	0.30	1500
0.50	0.14	0.36	1500
0.50	0.10	0.40	1500
0.53	0.06	0.41	1500
0.56	0.03	0.40	1500
0.59	0.02	0.39	1500

0.00	0.94	0.06	1600
0.01	0.90	0.08	1600
0.04	0.86	0.10	1600
0.10	0.81	0.09	1600
0.14	0.75	0.11	1600
0.18	0.69	0.14	1600
0.21	0.63	0.16	1600
0.25	0.57	0.18	1600
0.30	0.49	0.21	1600
0.34	0.43	0.23	1600
0.38	0.35	0.27	1600
0.42	0.27	0.31	1600
0.44	0.20	0.35	1600
0.46	0.16	0.39	1600
0.48	0.09	0.43	1600
0.48	0.04	0.48	1600
0.49	0.00	0.51	1600

0.45	0.00	0.55	1350
0.38	0.07	0.55	1350
0.35	0.14	0.51	1350
0.34	0.23	0.43	1350
0.36	0.26	0.38	1350
0.41	0.28	0.31	1350

0.39	0.00	0.61	1360
0.31	0.07	0.62	1360
0.24	0.13	0.63	1360
0.19	0.17	0.63	1360
0.17	0.25	0.58	1360
0.18	0.31	0.51	1360
0.20	0.37	0.43	1360
0.24	0.42	0.34	1360
0.28	0.45	0.27	1360
0.33	0.45	0.22	1360

0.32	0.00	0.68	1370
0.23	0.07	0.70	1370
0.18	0.12	0.70	1370
0.15	0.17	0.68	1370
0.15	0.23	0.62	1370
0.15	0.30	0.55	1370
0.16	0.36	0.48	1370
0.19	0.41	0.40	1370
0.22	0.47	0.31	1370
0.26	0.49	0.25	1370
0.28	0.51	0.21	1370

0.21	0.00	0.79	1400
0.12	0.11	0.77	1400
0.09	0.17	0.74	1400
0.08	0.23	0.68	1400
0.08	0.31	0.61	1400
0.08	0.40	0.52	1400
0.10	0.46	0.44	1400
0.12	0.52	0.36	1400
0.15	0.56	0.29	1400
0.18	0.58	0.24	1400
0.24	0.59	0.17	1400

0.11	0.00	0.89	1420
0.04	0.14	0.82	1420
0.01	0.25	0.74	1420
0.01	0.33	0.66	1420
0.01	0.47	0.52	1420
0.02	0.55	0.42	1420
0.04	0.62	0.34	1420
0.07	0.67	0.26	1420
0.11	0.70	0.19	1420
0.14	0.70	0.16	1420
0.17	0.70	0.13	1420

0.00	0.78	0.22	1490
0.04	0.81	0.15	1490
0.10	0.80	0.10	1490
