Basis	L2	L2/r	ref_L2	maxlevel	
9	1.98638983e-01	8.37388363e-01	2.37212496e-01	1	
21	5.64326131e-02	2.37898990e-01	2.37212496e-01	2	
49	2.92574780e-02	1.23338688e-01	2.37212496e-01	3	
113	1.22483110e-02	5.16343414e-02	2.37212496e-01	4	
257	4.49960253e-03	1.89686573e-02	2.37212496e-01	5	
577	1.99398950e-03	8.40592102e-03	2.37212496e-01	6	
1281	7.23795581e-04	3.05125402e-03	2.37212496e-01	7	
2817	2.38389007e-04	1.00495974e-03	2.37212496e-01	8	
6145	7.40547620e-05	3.12187441e-04	2.37212496e-01	9	
13313	2.21347558e-05	9.33119303e-05	2.37212496e-01	10	
28673	6.43912576e-06	2.71449687e-05	2.37212496e-01	11	
61441	1.83662857e-06	7.74254562e-06	2.37212496e-01	12	
131073	5.08287160e-07	2.14275036e-06	2.37212496e-01	13	
278529	1.34832867e-07	5.68405415e-07	2.37212496e-01	14	
589825	1.44807933e-07	6.10456597e-07	2.37212496e-01	15	
